Time,epoch,optimize,reward,score,epsilon
"2022-01-06 00:18:59,687",316,8811,0.6,62,0.095133
"2022-01-06 00:19:06,189",317,8840,0.4,52,0.095118
"2022-01-06 00:19:12,343",318,8866,0.3,52,0.095104
"2022-01-06 00:19:18,454",319,8892,0.3,48,0.09509
"2022-01-06 00:19:23,656",320,8914,0.1,42,0.095078
"2022-01-06 00:19:28,975",321,8932,-0.1,42,0.095068
"2022-01-06 00:19:35,047",322,8957,0.2,49,0.095055
"2022-01-06 00:19:40,208",323,8978,0,42,0.095044
"2022-01-06 00:19:45,737",324,9002,0.2,42,0.095031
"2022-01-06 00:19:54,633",325,9044,1.1,76,0.095009
"2022-01-06 00:20:05,704",326,9098,1.7,96,0.094981
"2022-01-06 00:20:11,994",327,9128,0.5,51,0.094965
"2022-01-06 00:20:17,416",328,9152,0.2,43,0.094952
"2022-01-06 00:20:22,676",329,9176,0.2,42,0.094939
"2022-01-06 00:20:28,113",330,9200,0.2,42,0.094926
"2022-01-06 00:20:33,723",331,9218,-0.1,42,0.094916
"2022-01-06 00:20:38,834",332,9239,0,42,0.094905
"2022-01-06 00:20:43,974",333,9260,0,42,0.094894
"2022-01-06 00:20:49,032",334,9281,0,42,0.094883
"2022-01-06 00:20:59,109",335,9326,1.2,85,0.09486
"2022-01-06 00:21:06,197",336,9362,0.8,59,0.094841
"2022-01-06 00:21:12,731",337,9392,0.5,52,0.094825
"2022-01-06 00:21:20,508",338,9418,0.3,65,0.094811
"2022-01-06 00:21:28,125",339,9448,0.5,65,0.094795
"2022-01-06 00:21:34,996",340,9476,0.4,55,0.09478
"2022-01-06 00:21:40,193",341,9498,0.1,42,0.094768
"2022-01-06 00:21:46,670",342,9524,0.3,52,0.094754
"2022-01-06 00:21:53,128",343,9550,0.3,52,0.09474
"2022-01-06 00:21:59,223",344,9576,0.3,49,0.094726
"2022-01-06 00:22:04,600",345,9598,0.1,42,0.094714
"2022-01-06 00:22:15,614",346,9646,1.4,93,0.094689
"2022-01-06 00:22:20,869",347,9668,0.1,42,0.094677
"2022-01-06 00:22:25,965",348,9691,0.1,42,0.094665
"2022-01-06 00:22:31,029",349,9713,0.1,42,0.094653
"2022-01-06 00:22:37,562",350,9737,0.2,54,0.09464
"2022-01-06 00:22:42,972",351,9762,0.2,42,0.094627
"2022-01-06 00:22:50,794",352,9797,0.7,65,0.094609
"2022-01-06 00:22:56,523",353,9822,0.2,48,0.094596
"2022-01-06 00:23:05,489",354,9862,1,74,0.094575
"2022-01-06 00:23:15,038",355,9904,1.1,80,0.094553
"2022-01-06 00:23:21,774",356,9932,0.4,56,0.094538
"2022-01-06 00:23:26,982",357,9954,0.1,42,0.094526
"2022-01-06 00:23:32,349",358,9976,0.1,42,0.094514
"2022-01-06 00:23:37,496",359,9998,0.1,42,0.094503
"2022-01-06 00:23:44,002",360,10024,0.3,53,0.094489
"2022-01-06 00:23:50,014",361,10048,0.2,50,0.094476
"2022-01-06 00:23:57,398",362,10081,0.6,60,0.094459
"2022-01-06 00:24:04,531",363,10111,0.5,58,0.094443
"2022-01-06 00:24:10,979",364,10139,0.4,52,0.094428
"2022-01-06 00:24:16,390",365,10163,0.2,42,0.094415
"2022-01-06 00:24:23,655",366,10195,0.6,60,0.094398
"2022-01-06 00:24:28,855",367,10218,0.1,42,0.094386
"2022-01-06 00:24:33,962",368,10241,0.1,42,0.094374
"2022-01-06 00:24:41,276",369,10271,0.5,61,0.094358
"2022-01-06 00:24:47,638",370,10297,0.3,52,0.094344
"2022-01-06 00:24:52,881",371,10323,0.3,42,0.09433
"2022-01-06 00:25:00,691",372,10361,0.9,65,0.09431
"2022-01-06 00:25:06,897",373,10391,0.5,52,0.094294
"2022-01-06 00:25:12,263",374,10416,0.2,43,0.094281
"2022-01-06 00:25:19,840",375,10454,0.9,62,0.094261
"2022-01-06 00:25:25,061",376,10478,0.2,42,0.094248
"2022-01-06 00:25:31,589",377,10508,0.5,56,0.094232
"2022-01-06 00:25:36,835",378,10532,0.2,42,0.094219
"2022-01-06 00:25:43,112",379,10564,0.6,52,0.094202
"2022-01-06 00:25:48,190",380,10588,0.2,42,0.094189
"2022-01-06 00:25:56,399",381,10621,0.6,68,0.094172
"2022-01-06 00:26:04,134",382,10655,0.7,66,0.094154
"2022-01-06 00:26:12,016",383,10692,0.8,64,0.094135
"2022-01-06 00:26:17,135",384,10714,0.1,42,0.094123
"2022-01-06 00:26:24,869",385,10747,0.6,66,0.094106
"2022-01-06 00:26:32,151",386,10779,0.6,58,0.094089
"2022-01-06 00:26:38,370",387,10807,0.4,51,0.094074
"2022-01-06 00:26:44,593",388,10836,0.4,52,0.094059
"2022-01-06 00:26:49,817",389,10857,0,42,0.094048
"2022-01-06 00:26:54,881",390,10879,0.1,42,0.094036
"2022-01-06 00:27:04,521",391,10923,1.2,79,0.094013
"2022-01-06 00:27:09,734",392,10945,0.1,42,0.094001
"2022-01-06 00:27:15,084",393,10965,0,42,0.09399
"2022-01-06 00:27:21,881",394,10992,0.3,57,0.093976
"2022-01-06 00:27:28,388",395,11018,0.3,51,0.093962
"2022-01-06 00:27:34,861",396,11048,0.4,54,0.093947
"2022-01-06 00:27:39,882",397,11070,0.1,42,0.093935
"2022-01-06 00:27:45,281",398,11092,0.1,42,0.093923
"2022-01-06 00:27:50,577",399,11114,0.1,42,0.093911
"2022-01-06 00:27:59,512",400,11152,0.9,75,0.093891
"2022-01-06 00:28:07,504",401,11186,0.7,68,0.093873
"2022-01-06 00:28:13,012",402,11208,0.1,42,0.093861
"2022-01-06 00:28:20,424",403,11238,0.5,62,0.093845
"2022-01-06 00:28:28,278",404,11273,0.7,65,0.093827
"2022-01-06 00:28:33,739",405,11298,0.2,42,0.093814
"2022-01-06 00:28:43,990",406,11341,1.1,86,0.093792
"2022-01-06 00:28:49,404",407,11365,0.2,42,0.093779
"2022-01-06 00:28:54,790",408,11390,0.2,42,0.093766
"2022-01-06 00:28:59,897",409,11412,0.1,42,0.093754
"2022-01-06 00:29:06,325",410,11440,0.4,51,0.093739
"2022-01-06 00:29:11,747",411,11464,0.2,42,0.093726
"2022-01-06 00:29:18,130",412,11492,0.4,52,0.093711
"2022-01-06 00:29:23,203",413,11514,0.1,42,0.093699
"2022-01-06 00:29:29,817",414,11542,0.4,54,0.093684
"2022-01-06 00:29:34,941",415,11564,0.1,42,0.093672
"2022-01-06 00:29:40,292",416,11589,0.2,42,0.093659
"2022-01-06 00:29:48,816",417,11627,0.9,73,0.093639
"2022-01-06 00:29:53,979",418,11649,0.1,42,0.093627
